Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, T1)
sim_split_no_mig	Round_1_Replicate_1	-8284.87	16577.74	22854.96	627.8	2.5127,3.1164,0.241,0.1662
sim_split_no_mig	Round_1_Replicate_2	-27786.14	55580.28	9.688500633923664e+20	194.28	0.5106,0.856,0.1103,2.6965
sim_split_no_mig	Round_1_Replicate_3	-40290.74	80589.48	228097165.07	152.44	6.7022,0.7772,2.6915,4.2792
sim_split_no_mig	Round_1_Replicate_4	-33071.45	66150.9	31838620.9	421.69	0.5902,0.2413,3.1049,1.0884
sim_split_no_mig	Round_1_Replicate_5	-38911.65	77831.3	174642216.06	523.84	0.4197,1.2987,0.2794,1.2876
sim_split_no_mig	Round_1_Replicate_6	-5087.3	10182.6	5494.85	649.32	1.4702,3.1486,2.0875,0.105
sim_split_no_mig	Round_1_Replicate_7	-31068.82	62145.64	3.02530889989962e+19	85.85	7.9952,0.117,0.4633,4.0695
sim_split_no_mig	Round_1_Replicate_8	-7616.32	15240.64	18227.05	710.91	0.5375,0.3156,4.5263,0.1324
sim_split_no_mig	Round_1_Replicate_9	-12202.1	24412.2	69208.75	220.08	8.3677,2.5329,4.9351,1.0352
sim_split_no_mig	Round_1_Replicate_10	-46064.14	92136.28	1539046460.93	275.59	0.2079,2.8322,2.6913,1.9132
sim_split_no_mig	Round_2_Replicate_1	-6455.88	12919.76	9595.16	493.92	1.8281,3.1687,3.2039,0.2289
sim_split_no_mig	Round_2_Replicate_2	-4814.35	9636.7	20382.58	854.87	3.2597,9.642,1.3874,0.0176
sim_split_no_mig	Round_2_Replicate_3	-4874.74	9757.48	25406.95	857.16	2.6992,10.8568,1.7782,0.0168
sim_split_no_mig	Round_2_Replicate_4	-4149.32	8306.64	4329.3	847.51	1.5305,1.5377,0.598,0.0269
sim_split_no_mig	Round_2_Replicate_5	-4462.67	8933.34	9497.15	847.12	0.5408,13.3715,1.4549,0.0241
sim_split_no_mig	Round_2_Replicate_6	-4237.25	8482.5	5061.53	838.8	2.5493,1.009,0.7257,0.0291
sim_split_no_mig	Round_2_Replicate_7	-4772.5	9553.0	23017.74	849.51	1.3619,2.224,3.2797,0.0204
sim_split_no_mig	Round_2_Replicate_8	-4633.63	9275.26	6069.56	763.15	2.6772,3.4568,1.2906,0.0482
sim_split_no_mig	Round_2_Replicate_9	-6028.18	12064.36	8696.06	621.34	0.6497,2.4716,2.7177,0.144
sim_split_no_mig	Round_2_Replicate_10	-4962.02	9932.04	7247.46	706.48	4.5928,4.0304,1.8112,0.0661
sim_split_no_mig	Round_2_Replicate_11	-3872.38	7752.76	2909.94	874.96	0.633,1.2165,0.4194,0.0249
sim_split_no_mig	Round_2_Replicate_12	-5257.01	10522.02	5595.64	610.01	2.9698,6.1347,1.4274,0.1197
sim_split_no_mig	Round_2_Replicate_13	-4736.14	9480.28	5966.65	735.72	2.901,3.7854,1.4395,0.0576
sim_split_no_mig	Round_2_Replicate_14	-4638.81	9285.62	15077.51	864.9	1.3697,7.3505,1.1873,0.0165
sim_split_no_mig	Round_2_Replicate_15	-4808.66	9625.32	22618.7	861.85	1.7842,13.6668,1.6573,0.0161
sim_split_no_mig	Round_2_Replicate_16	-4906.24	9820.48	15638.55	783.23	2.6117,2.3428,3.4005,0.0388
sim_split_no_mig	Round_2_Replicate_17	-4202.93	8413.86	4966.25	850.02	0.4636,4.1221,0.8985,0.0276
sim_split_no_mig	Round_2_Replicate_18	-7209.71	14427.42	13665.06	496.57	4.2986,1.0482,2.6328,0.2465
sim_split_no_mig	Round_2_Replicate_19	-4665.79	9339.58	17044.57	838.6	5.8967,0.8817,1.7673,0.0247
sim_split_no_mig	Round_2_Replicate_20	-5090.96	10189.92	8279.02	685.92	2.2767,3.8654,3.1914,0.0755
sim_split_no_mig	Round_3_Replicate_1	-3873.27	7754.54	2879.31	885.5	1.05,2.0448,0.2263,0.0208
sim_split_no_mig	Round_3_Replicate_2	-4064.33	8136.66	4159.63	870.24	0.7257,0.4769,0.8868,0.027
sim_split_no_mig	Round_3_Replicate_3	-3996.12	8000.24	3660.64	870.86	0.6444,2.5671,0.4773,0.0222
sim_split_no_mig	Round_3_Replicate_4	-4235.3	8478.6	6428.47	864.26	1.205,0.4509,1.1166,0.025
sim_split_no_mig	Round_3_Replicate_5	-4308.09	8624.18	5941.78	836.26	1.134,0.6598,1.4458,0.0324
sim_split_no_mig	Round_3_Replicate_6	-3926.19	7860.38	3093.17	871.63	0.6805,3.3361,0.3635,0.0233
sim_split_no_mig	Round_3_Replicate_7	-3924.1	7856.2	3108.61	876.93	1.0136,2.6321,0.2882,0.0214
sim_split_no_mig	Round_3_Replicate_8	-3728.08	7464.16	2698.27	930.53	0.5731,2.3445,0.1015,0.0103
sim_split_no_mig	Round_3_Replicate_9	-4139.99	8287.98	4870.78	864.2	0.6156,0.5701,1.2581,0.027
