Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, T1, T2)
split_nomig	Round_1_Replicate_1	-24130.43	48272.86	2388151.78	542.84	2.6948,0.19,0.1781,0.6024,0.2103,0.4193
split_nomig	Round_1_Replicate_2	-54039.43	108090.86	17987442648.7	215.65	0.3421,2.7231,3.8743,1.928,0.6133,2.9214
split_nomig	Round_1_Replicate_3	-33597.12	67206.24	2.1542318568283788e+16	68.11	0.526,5.3496,3.5362,2.7718,5.323,5.2072
split_nomig	Round_1_Replicate_4	-28272.34	56556.68	10787335.38	165.18	6.7119,2.14,6.7441,0.166,4.7751,0.2263
split_nomig	Round_1_Replicate_5	-16180.45	32372.9	253667.22	149.23	7.2363,4.2223,5.1788,3.621,3.1362,0.2269
split_nomig	Round_1_Replicate_6	-79895.29	159802.58	47053309412648.25	230.77	1.2744,0.2359,0.4249,1.9411,0.3103,5.2798
split_nomig	Round_1_Replicate_7	-27058.98	54129.96	6005799.1	312.36	2.5874,1.1968,0.7355,0.5806,2.0814,0.649
split_nomig	Round_1_Replicate_8	-22782.2	45576.4	1738567.15	213.87	5.8093,1.0617,2.2871,0.9792,0.8269,1.3942
split_nomig	Round_1_Replicate_9	-18421.91	36855.82	581856.04	863.08	0.2348,0.3336,3.5157,0.3472,0.3345,0.1448
split_nomig	Round_1_Replicate_10	-39250.27	78512.54	194616664.03	167.23	0.4613,4.1366,5.9399,5.1766,1.1685,2.0879
split_nomig	Round_2_Replicate_1	-17223.03	34458.06	348107.46	89.8	10.7283,12.0681,2.5286,3.6487,5.443,0.3231
split_nomig	Round_2_Replicate_2	-18847.51	37707.02	589657.1	171.46	2.9614,3.6179,18.8427,2.9069,2.9784,0.4324
split_nomig	Round_2_Replicate_3	-15081.48	30174.96	183912.9	203.96	5.183,1.667,5.4819,3.3406,1.1225,0.6533
split_nomig	Round_2_Replicate_4	-12674.65	25361.3	86608.85	282.67	4.711,1.3256,2.1494,8.3837,0.8183,0.2826
split_nomig	Round_2_Replicate_5	-11338.6	22689.2	51729.97	165.13	9.2512,11.2949,2.6972,10.3886,1.1997,0.3211
split_nomig	Round_2_Replicate_6	-16834.23	33680.46	311395.72	269.75	4.3907,1.376,5.8799,2.0708,1.912,0.0988
split_nomig	Round_2_Replicate_7	-13438.29	26888.58	113037.49	243.35	9.0868,1.9387,3.035,1.2624,1.4977,0.0569
split_nomig	Round_2_Replicate_8	-25610.28	51232.56	3454255.65	152.13	14.3347,1.2231,13.3941,1.203,4.0871,0.0596
split_nomig	Round_2_Replicate_9	-16855.29	33722.58	324415.19	195.69	3.2143,2.2226,7.8349,3.2136,1.6087,0.6857
split_nomig	Round_2_Replicate_10	-15055.59	30123.18	205421.27	80.04	21.291,15.5144,2.4416,14.423,4.1837,0.0558
split_nomig	Round_2_Replicate_11	-19011.32	38034.64	725618.98	286.89	2.0346,1.6361,13.1935,16.0442,2.1475,0.1309
split_nomig	Round_2_Replicate_12	-14541.22	29094.44	163684.92	189.34	2.447,6.252,9.9775,3.2304,0.8631,0.8311
split_nomig	Round_2_Replicate_13	-19517.39	39046.78	666699.43	82.78	16.484,6.506,5.3493,3.2949,6.4415,0.4944
split_nomig	Round_2_Replicate_14	-11464.01	22940.02	56776.53	149.33	19.9793,9.2013,6.379,0.9649,1.7174,0.1234
split_nomig	Round_2_Replicate_15	-18373.0	36758.0	596869.83	188.11	2.0203,4.087,20.7782,1.5203,1.2685,0.8792
split_nomig	Round_2_Replicate_16	-20371.59	40755.18	798591.94	95.63	21.01,3.8451,2.2427,3.8817,5.8469,0.1035
split_nomig	Round_2_Replicate_17	-24595.57	49203.14	2763476.18	123.52	16.6668,1.71,4.5995,1.0959,4.5733,0.301
split_nomig	Round_2_Replicate_18	-17731.27	35474.54	446210.5	119.53	4.7952,9.1922,7.5744,4.1924,4.2885,0.1108
split_nomig	Round_2_Replicate_19	-24294.21	48600.42	2961512.28	131.49	2.0129,8.6365,4.4535,7.455,5.2953,0.0865
split_nomig	Round_2_Replicate_20	-25953.91	51919.82	4204112.74	144.1	9.2101,1.8656,1.7546,1.2229,4.7981,0.4889
split_nomig	Round_3_Replicate_1	-12071.76	24155.52	84789.76	180.91	4.3374,11.7619,3.8093,9.1184,1.3816,0.0753
split_nomig	Round_3_Replicate_2	-11801.88	23615.76	56951.47	133.24	20.8096,20.8909,1.1772,8.6699,1.6325,0.1916
split_nomig	Round_3_Replicate_3	-8232.64	16477.28	20212.14	328.65	7.3466,5.3942,0.7453,22.6241,0.4812,0.0646
split_nomig	Round_3_Replicate_4	-11586.37	23184.74	58985.52	174.83	12.511,6.9802,0.7606,5.8706,1.5976,0.0876
split_nomig	Round_3_Replicate_5	-11773.32	23558.64	60168.62	189.35	7.2124,6.8487,4.1459,5.4478,0.4171,0.8772
split_nomig	Round_3_Replicate_6	-10646.44	21304.88	41140.84	163.38	18.6341,22.6946,1.1804,11.4693,1.1371,0.1062
split_nomig	Round_3_Replicate_7	-10546.35	21104.7	41105.95	204.31	6.448,9.911,3.9447,4.4539,0.75,0.4173
split_nomig	Round_3_Replicate_8	-9744.42	19500.84	34614.3	315.48	3.9308,3.5339,1.4125,2.5758,0.6116,0.1989
split_nomig	Round_3_Replicate_9	-7017.79	14047.58	16079.43	433.55	17.4678,2.4167,1.8921,9.0777,0.2409,0.0645
split_nomig	Round_3_Replicate_10	-12725.21	25462.42	82738.39	155.65	8.5707,15.3599,1.053,15.3817,1.4763,0.3056
split_nomig	Round_3_Replicate_11	-10160.91	20333.82	39601.96	197.98	15.7805,7.2724,3.1109,6.2907,1.0192,0.1034
split_nomig	Round_3_Replicate_12	-10774.19	21560.38	44550.89	191.69	16.4782,4.76,3.2192,24.3694,0.9803,0.2351
split_nomig	Round_3_Replicate_13	-13021.57	26055.14	83261.41	146.65	29.1518,29.5476,4.9451,4.2135,0.3267,1.2718
split_nomig	Round_3_Replicate_14	-10459.95	20931.9	52744.04	201.07	11.4016,7.2198,5.3801,5.5622,1.0793,0.0687
split_nomig	Round_3_Replicate_15	-10527.27	21066.54	41846.52	207.96	5.9343,8.8109,3.459,3.7355,0.9714,0.2421
split_nomig	Round_3_Replicate_16	-11598.2	23208.4	68765.17	205.32	7.9114,4.109,5.8458,24.681,1.1763,0.173
split_nomig	Round_3_Replicate_17	-10935.59	21883.18	43942.19	172.24	8.3848,29.9748,1.8493,4.5529,1.1258,0.2401
split_nomig	Round_3_Replicate_18	-10669.34	21350.68	41572.73	173.44	13.1282,16.0204,0.7489,2.2976,1.33,0.0913
split_nomig	Round_3_Replicate_19	-11421.67	22855.34	57914.82	178.14	17.8233,5.3415,1.7918,4.0274,1.4865,0.0768
split_nomig	Round_3_Replicate_20	-10736.67	21485.34	46338.69	218.71	4.9146,11.2455,1.3253,2.0691,1.1255,0.1452
split_nomig	Round_3_Replicate_21	-7974.1	15960.2	17495.51	352.78	3.7743,5.3413,2.4697,14.1557,0.2288,0.2026
split_nomig	Round_3_Replicate_22	-12907.64	25827.28	84481.63	132.29	17.754,12.9542,9.5283,3.3024,0.8457,1.073
split_nomig	Round_3_Replicate_23	-12349.28	24710.56	68268.49	120.33	14.0815,22.231,1.9807,13.301,1.8849,0.2432
split_nomig	Round_3_Replicate_24	-11523.7	23059.4	59354.88	129.14	28.4234,14.9989,6.9944,28.1144,1.3535,0.2627
split_nomig	Round_3_Replicate_25	-14149.88	28311.76	119727.45	159.68	18.0461,17.691,0.8455,11.423,1.0021,0.5657
split_nomig	Round_3_Replicate_26	-10607.44	21226.88	41328.55	210.8	7.7393,4.9624,6.4578,3.8025,0.3684,0.6705
split_nomig	Round_3_Replicate_27	-12539.33	25090.66	73982.84	123.57	23.9198,7.8273,4.2294,15.6208,1.6652,0.4665
split_nomig	Round_3_Replicate_28	-11872.94	23757.88	63716.77	163.49	5.0255,18.4214,3.1208,4.9999,1.4133,0.1565
split_nomig	Round_3_Replicate_29	-10563.9	21139.8	44521.91	211.18	11.611,4.8719,2.4962,20.7634,1.0241,0.1362
split_nomig	Round_3_Replicate_30	-10279.9	20571.8	32906.59	169.37	18.4019,20.9337,10.3827,4.7166,0.5889,0.5482
split_nomig	Round_4_Replicate_1	-5904.94	11821.88	10678.97	578.6	24.6745,1.3463,1.2489,3.5733,0.1331,0.0384
split_nomig	Round_4_Replicate_2	-5418.11	10848.22	13218.61	657.97	5.3044,1.8312,2.0069,4.5341,0.0651,0.0369
split_nomig	Round_4_Replicate_3	-5676.94	11365.88	6969.59	555.63	4.1271,3.0576,1.4051,0.842,0.1361,0.0639
split_nomig	Round_4_Replicate_4	-5030.61	10073.22	12241.47	738.09	1.4712,2.2184,1.43,1.9861,0.0579,0.0151
split_nomig	Round_4_Replicate_5	-6369.96	12751.92	13301.7	496.38	7.1247,3.5167,1.0148,3.1419,0.2002,0.0317
split_nomig	Round_4_Replicate_6	-6137.64	12287.28	12750.4	564.3	6.6073,1.4487,3.2543,2.7257,0.1535,0.0402
split_nomig	Round_4_Replicate_7	-5781.67	11575.34	20692.11	620.68	27.9431,2.0934,1.6654,2.104,0.1165,0.0106
split_nomig	Round_4_Replicate_8	-5751.68	11515.36	14455.38	606.18	13.1009,1.8836,1.0558,5.7075,0.1171,0.0245
split_nomig	Round_4_Replicate_9	-4946.03	9904.06	14564.41	770.55	7.0365,1.0438,2.9072,2.5143,0.0324,0.0214
split_nomig	Round_4_Replicate_10	-5236.34	10484.68	18924.66	720.18	10.059,2.6479,1.3447,3.2521,0.0408,0.0241
split_nomig	Round_4_Replicate_11	-4992.35	9996.7	28596.9	808.61	6.5901,1.205,1.446,12.846,0.0287,0.0103
split_nomig	Round_4_Replicate_12	-5139.01	10290.02	24628.27	764.63	19.8256,1.3491,1.7614,6.229,0.0291,0.021
split_nomig	Round_4_Replicate_13	-5098.63	10209.26	12811.98	732.08	1.4565,1.377,3.6439,4.1154,0.0421,0.0324
split_nomig	Round_4_Replicate_14	-5162.29	10336.58	15583.16	719.45	5.6984,1.6353,1.1336,7.1309,0.0434,0.0283
split_nomig	Round_4_Replicate_15	-5941.76	11895.52	13505.47	561.58	6.1458,3.357,2.3974,3.2247,0.1179,0.0394
split_nomig	Round_4_Replicate_16	-6641.86	13295.72	12349.87	448.38	7.2977,4.4015,1.5035,2.9054,0.2236,0.0555
