Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, T1, T2, f)
admix_origin_no_mig	Round_1_Replicate_1	-40832.3	81676.6	299048594.44	153.9	0.6902,3.7778,5.25,0.3639,3.9748,0.4739
admix_origin_no_mig	Round_1_Replicate_2	-16097.67	32207.34	347487.04	484.45	0.8253,0.6268,5.7308,0.547,0.2942,0.0855
admix_origin_no_mig	Round_1_Replicate_3	-30681.64	61375.28	20051098.22	177.02	2.0437,6.6601,0.4301,2.8031,1.2304,0.2957
admix_origin_no_mig	Round_1_Replicate_4	-28510.64	57033.28	11742547.45	266.57	0.6528,3.2654,1.5951,2.6117,0.4255,0.1274
admix_origin_no_mig	Round_1_Replicate_5	-28596.24	57204.48	1.298267014585541e+17	123.03	0.1662,4.1526,0.4251,1.9278,1.935,0.949
admix_origin_no_mig	Round_1_Replicate_6	-37033.09	74078.18	96633363.92	308.6	3.4176,0.8378,0.3501,0.6242,1.5145,0.9887
admix_origin_no_mig	Round_1_Replicate_7	-40176.22	80364.44	3.99044523566376e+25	144.5	0.5351,0.3244,0.1859,0.1561,6.1472,0.9887
admix_origin_no_mig	Round_1_Replicate_8	-40065.95	80143.9	234958489.22	350.75	1.4165,0.6594,0.7567,0.5893,2.053,0.9448
admix_origin_no_mig	Round_1_Replicate_9	-15255.49	30522.98	246395.46	471.13	0.2141,7.825,2.8063,0.1851,0.2277,0.8393
admix_origin_no_mig	Round_1_Replicate_10	-45671.06	91354.12	1172630775.3	280.93	0.764,1.3704,1.3055,0.9111,2.8974,0.9887
admix_origin_no_mig	Round_2_Replicate_1	-7889.25	15790.5	20371.24	680.06	0.3119,2.3539,2.4265,0.0999,0.0965,0.9888
admix_origin_no_mig	Round_2_Replicate_2	-15821.79	31655.58	265593.01	303.27	0.4774,15.8605,3.1947,0.3864,0.4166,0.8175
admix_origin_no_mig	Round_2_Replicate_3	-10416.83	20845.66	46295.72	472.07	0.4754,5.8171,2.2683,0.1391,0.2422,0.9893
admix_origin_no_mig	Round_2_Replicate_4	-8578.75	17169.5	30821.99	550.71	0.6104,2.0043,4.7998,0.3175,0.0682,0.3864
admix_origin_no_mig	Round_2_Replicate_5	-5033.57	10079.14	5646.39	754.36	0.3372,5.5664,2.0884,0.0399,0.0438,0.6755
admix_origin_no_mig	Round_2_Replicate_6	-23624.38	47260.76	2215915.27	394.93	0.1231,9.3487,3.5125,0.076,0.4324,0.4557
admix_origin_no_mig	Round_2_Replicate_7	-5447.39	10906.78	7116.18	697.2	0.5238,2.0508,1.1686,0.0775,0.0548,0.4155
admix_origin_no_mig	Round_2_Replicate_8	-7200.79	14413.58	14448.56	595.45	0.487,4.6261,7.8595,0.1507,0.0817,0.9881
admix_origin_no_mig	Round_2_Replicate_9	-17392.74	34797.48	417818.88	284.17	0.4814,4.05,7.5629,0.18,0.7421,0.424
admix_origin_no_mig	Round_2_Replicate_10	-23044.72	46101.44	2251694.16	341.64	0.2215,2.4121,9.7385,0.0888,0.6821,0.6618
admix_origin_no_mig	Round_2_Replicate_11	-11163.58	22339.16	66849.56	532.81	0.3111,2.6254,10.2079,0.1099,0.2096,0.9889
admix_origin_no_mig	Round_2_Replicate_12	-18232.28	36476.56	605197.63	361.61	0.269,16.4764,1.6551,0.6674,0.0949,0.7755
admix_origin_no_mig	Round_2_Replicate_13	-14277.98	28567.96	167477.98	416.02	0.2583,6.3016,5.4675,0.1414,0.2911,0.2897
admix_origin_no_mig	Round_2_Replicate_14	-33290.7	66593.4	46091885.09	415.19	0.1584,2.9392,6.6722,0.7036,0.3226,0.9884
admix_origin_no_mig	Round_2_Replicate_15	-7984.11	15980.22	19058.67	528.34	0.6854,15.6969,0.8342,0.0911,0.1712,0.9885
admix_origin_no_mig	Round_2_Replicate_16	-8174.83	16361.66	20997.51	529.62	0.4262,12.8759,3.1512,0.0428,0.1691,0.2311
admix_origin_no_mig	Round_2_Replicate_17	-15779.55	31571.1	301280.39	448.6	0.2627,2.5004,7.8058,0.1345,0.3552,0.8816
admix_origin_no_mig	Round_2_Replicate_18	-10413.27	20838.54	41434.68	340.9	0.8044,13.9572,6.1316,0.0885,0.4119,0.9885
admix_origin_no_mig	Round_2_Replicate_19	-7361.84	14735.68	16238.84	603.77	0.4023,4.6042,1.191,0.1264,0.0719,0.232
admix_origin_no_mig	Round_2_Replicate_20	-31637.74	63287.48	26210103.37	358.42	0.1422,17.6099,1.9145,0.727,0.1513,0.9885
admix_origin_no_mig	Round_3_Replicate_1	-4654.94	9321.88	5302.14	738.53	1.187,5.2254,0.6591,0.042,0.0316,0.6177
admix_origin_no_mig	Round_3_Replicate_2	-4300.71	8613.42	4543.78	864.73	0.2479,14.2205,3.8604,0.0276,0.0111,0.6247
admix_origin_no_mig	Round_3_Replicate_3	-3733.85	7479.7	2509.44	925.5	0.2454,3.1271,0.5519,0.0138,0.0104,0.9916
admix_origin_no_mig	Round_3_Replicate_4	-4665.36	9342.72	10849.53	812.35	0.6304,7.3438,2.0222,0.0198,0.0188,0.3675
admix_origin_no_mig	Round_3_Replicate_5	-4037.27	8086.54	2952.81	869.13	0.2896,11.7823,7.3407,0.0232,0.0171,0.9895
admix_origin_no_mig	Round_3_Replicate_6	-3789.51	7591.02	2672.63	920.93	0.2185,9.6967,1.0051,0.0128,0.0109,0.9888
admix_origin_no_mig	Round_3_Replicate_7	-4015.65	8043.3	3098.63	857.06	0.5639,1.3795,1.9441,0.0298,0.0142,0.9891
admix_origin_no_mig	Round_3_Replicate_8	-4599.51	9211.02	4188.49	730.41	0.825,8.6407,1.1377,0.0447,0.0379,0.9514
