Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, T1, T2)
split_nomig	Round_1_Replicate_1	-19711.41	39434.82	741655.74	408.41	3.9058,0.335,1.1216,0.3816,0.316,0.5196
split_nomig	Round_1_Replicate_2	-11912.77	23837.54	79957.7	458.12	1.5553,2.5593,0.4549,1.728,0.3661,0.2586
split_nomig	Round_1_Replicate_3	-34514.71	69041.42	50579299.41	448.8	0.922,1.0427,0.9773,0.2834,1.5869,0.7141
split_nomig	Round_1_Replicate_4	-25960.55	51933.1	4259531.46	220.89	7.4296,0.8063,6.3958,0.4132,2.703,0.1802
split_nomig	Round_1_Replicate_5	-64528.27	129068.54	378980045990.59	240.82	2.8582,0.6089,0.3229,0.6689,5.5993,0.9601
split_nomig	Round_1_Replicate_6	-24955.01	49922.02	3398796.87	268.03	5.8145,1.2883,1.7416,0.2625,1.1578,0.648
split_nomig	Round_1_Replicate_7	-97256.19	194524.38	2.3569592793026504e+16	257.12	0.5526,1.1267,0.4777,1.262,3.5491,3.7971
split_nomig	Round_1_Replicate_8	-67399.12	134810.24	1224180914337.0	166.58	0.4731,2.5298,4.5769,1.8413,1.3058,4.6551
split_nomig	Round_1_Replicate_9	-50280.83	100573.66	3997670117.11	370.77	1.4634,1.8914,0.2166,0.1689,3.9371,0.6078
split_nomig	Round_1_Replicate_10	-23275.7	46563.4	2098405.69	485.22	1.6237,0.2826,0.4191,7.0781,0.8211,0.2228
split_nomig	Round_2_Replicate_1	-22855.78	45723.56	1813898.45	299.23	4.2605,1.5677,0.2224,3.0259,0.7855,0.5566
split_nomig	Round_2_Replicate_2	-7054.62	14121.24	13995.85	556.36	1.229,1.4766,1.1742,5.6574,0.2192,0.0795
split_nomig	Round_2_Replicate_3	-19245.26	38502.52	689836.63	338.76	1.3803,4.4019,0.8061,1.2839,1.0536,0.6429
split_nomig	Round_2_Replicate_4	-10802.91	21617.82	47512.27	311.27	4.1822,3.5416,1.2518,4.8845,0.1568,0.5283
split_nomig	Round_2_Replicate_5	-8279.61	16571.22	19815.57	419.9	5.4643,7.5262,0.8566,2.7734,0.1215,0.2508
split_nomig	Round_2_Replicate_6	-31602.7	63217.4	23120161.91	282.7	0.8901,11.5324,0.1927,5.1635,1.137,0.676
split_nomig	Round_2_Replicate_7	-11334.89	22681.78	68043.69	542.54	0.7761,2.6111,1.6422,0.6525,0.0829,0.3417
split_nomig	Round_2_Replicate_8	-12653.8	25319.6	106664.22	554.59	0.7633,1.6007,0.4244,1.5419,0.3717,0.2019
split_nomig	Round_2_Replicate_9	-16892.63	33797.26	337297.02	334.51	1.1616,0.8927,1.3079,2.9116,0.0728,0.9974
split_nomig	Round_2_Replicate_10	-12331.8	24675.6	92197.61	491.85	2.6034,0.6518,0.3109,3.3683,0.2117,0.2358
split_nomig	Round_2_Replicate_11	-8198.74	16409.48	22651.3	507.14	1.6079,2.7322,1.3736,0.5066,0.3005,0.1131
split_nomig	Round_2_Replicate_12	-9131.53	18275.06	29917.18	361.13	2.7043,4.1408,0.6635,6.6915,0.4966,0.1295
split_nomig	Round_2_Replicate_13	-8352.68	16717.36	24908.38	644.47	0.7468,2.6053,0.3989,1.6153,0.0905,0.1477
split_nomig	Round_2_Replicate_14	-9272.75	18557.5	28951.12	294.56	6.0509,4.5725,1.3724,2.2099,0.6164,0.1898
split_nomig	Round_2_Replicate_15	-16064.09	32140.18	257677.27	356.99	6.688,3.085,0.27,0.6605,0.6259,0.3146
split_nomig	Round_2_Replicate_16	-11346.43	22704.86	73525.21	512.4	0.6257,4.6941,0.3471,3.3012,0.3114,0.1362
split_nomig	Round_2_Replicate_17	-10309.31	20630.62	48648.91	559.03	1.6163,1.0702,0.2589,0.9965,0.5049,0.0592
split_nomig	Round_2_Replicate_18	-15597.69	31207.38	248990.57	613.75	0.7636,2.4187,0.5576,0.563,0.1171,0.4484
split_nomig	Round_2_Replicate_19	-5338.0	10688.0	5985.18	592.83	2.4349,7.3287,1.7286,1.5555,0.0845,0.0575
split_nomig	Round_2_Replicate_20	-12466.05	24944.1	94488.22	402.38	2.8925,2.7622,0.2758,4.5157,0.3583,0.2309
split_nomig	Round_3_Replicate_1	-6383.98	12779.96	9836.74	514.19	1.1879,6.0535,3.509,1.4147,0.1979,0.039
split_nomig	Round_3_Replicate_2	-5809.82	11631.64	7894.84	534.04	3.6152,6.3006,1.0742,3.5635,0.1464,0.0336
split_nomig	Round_3_Replicate_3	-6076.12	12164.24	8350.21	518.75	1.4731,8.9895,1.3182,0.9157,0.1915,0.0385
split_nomig	Round_3_Replicate_4	-6055.31	12122.62	8972.19	622.37	1.5855,2.2121,3.0999,0.585,0.0315,0.1284
split_nomig	Round_3_Replicate_5	-4845.65	9703.3	5372.68	696.64	1.1748,11.758,0.5983,2.7492,0.0651,0.0153
split_nomig	Round_3_Replicate_6	-4239.81	8491.62	4703.33	837.78	0.6922,1.8564,0.7915,5.0067,0.0194,0.0138
split_nomig	Round_3_Replicate_7	-4490.51	8993.02	4587.62	763.29	1.2402,4.5408,2.9981,0.6002,0.038,0.0182
split_nomig	Round_3_Replicate_8	-4720.6	9453.2	5373.29	724.57	2.002,3.2216,3.2938,1.0676,0.0383,0.031
split_nomig	Round_3_Replicate_9	-4392.36	8796.72	8467.23	845.28	3.8437,2.0015,0.5285,0.5837,0.013,0.016
split_nomig	Round_3_Replicate_10	-5960.25	11932.5	7726.8	501.74	3.9748,6.6415,1.1403,1.2712,0.1754,0.0539
split_nomig	Round_3_Replicate_11	-4316.52	8645.04	7205.21	850.27	1.8381,3.9404,0.7069,0.4353,0.0128,0.0143
split_nomig	Round_3_Replicate_12	-4943.75	9899.5	21980.16	810.18	4.6125,7.0898,2.1967,1.3155,0.0141,0.0166
split_nomig	Round_3_Replicate_13	-5064.45	10140.9	5850.17	689.51	1.1458,1.8184,4.663,0.9467,0.1128,0.0138
split_nomig	Round_3_Replicate_14	-5038.26	10088.52	5181.62	659.0	0.8767,10.5923,2.1201,0.4074,0.0959,0.0163
split_nomig	Round_3_Replicate_15	-4622.93	9257.86	11514.15	820.33	4.5287,13.2895,1.9016,0.4111,0.0109,0.022
split_nomig	Round_3_Replicate_16	-4358.76	8729.52	3622.08	768.74	0.7676,2.6516,2.9889,0.6217,0.0392,0.0264
split_nomig	Round_3_Replicate_17	-4939.98	9891.96	19781.07	803.19	2.8829,18.3362,1.9355,2.7992,0.011,0.0211
split_nomig	Round_3_Replicate_18	-5167.63	10347.26	7006.34	658.76	5.3891,5.8879,1.5841,1.2492,0.0266,0.072
split_nomig	Round_3_Replicate_19	-5889.22	11790.44	8281.35	614.61	0.7957,4.8936,1.7861,1.5911,0.0511,0.1166
split_nomig	Round_3_Replicate_20	-5080.84	10173.68	5476.4	687.37	2.0529,3.0479,1.2079,0.8261,0.0173,0.0895
split_nomig	Round_3_Replicate_21	-5284.51	10581.02	5736.7	601.99	1.7137,9.5991,2.7813,1.3691,0.0851,0.0485
split_nomig	Round_3_Replicate_22	-7400.64	14813.28	15589.74	503.19	0.7284,16.2886,0.4995,3.5007,0.2279,0.0364
split_nomig	Round_3_Replicate_23	-4879.46	9770.92	5103.16	732.31	1.1686,3.0452,0.5559,0.496,0.0639,0.0455
split_nomig	Round_3_Replicate_24	-5321.69	10655.38	7604.79	623.54	7.284,4.5569,1.5361,1.2147,0.0759,0.0398
split_nomig	Round_3_Replicate_25	-5895.43	11802.86	8219.74	531.65	4.3675,18.9748,4.5595,0.7456,0.1209,0.0532
split_nomig	Round_3_Replicate_26	-4527.21	9066.42	4063.38	739.29	0.8355,3.9813,1.4369,1.1441,0.0482,0.0251
split_nomig	Round_3_Replicate_27	-5095.27	10202.54	5556.82	693.92	1.4082,1.9451,1.9962,0.656,0.0184,0.0893
split_nomig	Round_3_Replicate_28	-6760.18	13532.36	11773.48	563.11	3.0173,6.4542,0.503,1.4174,0.1019,0.1192
split_nomig	Round_3_Replicate_29	-5530.02	11072.04	7897.63	588.44	3.9323,13.4311,1.7419,1.5078,0.0901,0.0393
